id;type;geometry_name;geometry_type;geometry_coordinates;Longitude;Latitude;Satélite;País;Estado;Município;Datetime;Risco de Fogo;Precipitação;Dias sem Chuva;Data;Hora
focos_ams_24h.50234a10-bbe9-37eb-815b-15a02d04704f;Feature;geom;Point;[-63.7902, 9.8686];-63,7902;9,8686;GOES-16;Venezuela;Monagas;Cedeño;2023-03-30 08:54:09-03:00;;;;30/03/2023;08:54:09
focos_ams_24h.8a5758fe-4379-3d05-a474-b9aacdc0b61c;Feature;geom;Point;[-44.180622, -8.026493];-44,180622;-8,026493;NOAA-19D;Brasil;PIAUÍ;SEBASTIÃO LEAL;2023-03-30 08:06:54-03:00;;;;30/03/2023;08:06:54
focos_ams_24h.43928ccd-c7ed-39e2-9780-26e79e4011c8;Feature;geom;Point;[-44.178268, -8.016772];-44,178268;-8,016772;NOAA-19D;Brasil;PIAUÍ;SEBASTIÃO LEAL;2023-03-30 08:06:54-03:00;;;;30/03/2023;08:06:54
focos_ams_24h.cbf7f728-ab25-34cb-9407-0740e8bc574a;Feature;geom;Point;[-78.345, -2.0221];-78,345;-2,0221;GOES-16;Ecuador;Morona Santiago;Morona;2023-03-30 07:35:17-03:00;;;;30/03/2023;07:35:17
focos_ams_24h.01f59559-edaf-37eb-b9ff-b642283625ff;Feature;geom;Point;[-78.3269, -2.0039];-78,3269;-2,0039;GOES-16;Ecuador;Morona Santiago;Huamboya;2023-03-30 07:35:17-03:00;;;;30/03/2023;07:35:17
focos_ams_24h.77cc4d89-bfa2-3cd9-aaa0-82c7d4bcb6c4;Feature;geom;Point;[-78.345, -2.0221];-78,345;-2,0221;GOES-16;Ecuador;Morona Santiago;Morona;2023-03-30 07:25:17-03:00;;;;30/03/2023;07:25:17
focos_ams_24h.e31a3547-f7bc-30c8-9e62-5432a0965444;Feature;geom;Point;[-78.3269, -2.0039];-78,3269;-2,0039;GOES-16;Ecuador;Morona Santiago;Huamboya;2023-03-30 07:25:17-03:00;;;;30/03/2023;07:25:17
focos_ams_24h.a35747ad-22b7-3ec3-ac62-a365a24624e0;Feature;geom;Point;[-78.3269, -2.0221];-78,3269;-2,0221;GOES-16;Ecuador;Morona Santiago;Morona;2023-03-30 07:25:17-03:00;;;;30/03/2023;07:25:17
focos_ams_24h.bc84a088-9f94-32f9-8774-3751306387cd;Feature;geom;Point;[-78.345, -2.0221];-78,345;-2,0221;GOES-16;Ecuador;Morona Santiago;Morona;2023-03-30 07:15:18-03:00;;;;30/03/2023;07:15:18
focos_ams_24h.a491443a-a6d5-3283-a231-bef9fcdeb6cc;Feature;geom;Point;[-78.3269, -2.0039];-78,3269;-2,0039;GOES-16;Ecuador;Morona Santiago;Huamboya;2023-03-30 07:15:18-03:00;;;;30/03/2023;07:15:18
focos_ams_24h.9d9de74a-1fd9-355b-bcd1-a19b4e806db8;Feature;geom;Point;[-78.3269, -2.0039];-78,3269;-2,0039;GOES-16;Ecuador;Morona Santiago;Huamboya;2023-03-30 07:05:17-03:00;;;;30/03/2023;07:05:17
focos_ams_24h.35f797dc-4d59-3265-8569-38e6197c1145;Feature;geom;Point;[-78.345, -2.0221];-78,345;-2,0221;GOES-16;Ecuador;Morona Santiago;Morona;2023-03-30 07:05:17-03:00;;;;30/03/2023;07:05:17
focos_ams_24h.8a0ec85c-7b86-330d-bdc4-ee1f5e4b450d;Feature;geom;Point;[-78.3269, -2.0221];-78,3269;-2,0221;GOES-16;Ecuador;Morona Santiago;Morona;2023-03-30 07:05:17-03:00;;;;30/03/2023;07:05:17
focos_ams_24h.d0c3dd57-27b3-3aa3-8732-d4e347b91528;Feature;geom;Point;[-78.3269, -2.0039];-78,3269;-2,0039;GOES-16;Ecuador;Morona Santiago;Huamboya;2023-03-30 06:55:17-03:00;;;;30/03/2023;06:55:17
